date,title,venue,city,description
Tue 14 Jan 2020,Oracle Cloud Day New York, Marriott Marquis ,New York,Oracle Cloud Day New York is a full day of talks and interactive experiences covering the hottest topics in data and cloud technology. Get up to speed on the latest technologies best practices and customer...
Wed 15 Jan 2020,Future of Retail Conference,,New York,The conference will provide a roadmap on how to build experiential retail combined with an invisible layer of technology-driven service to connect with shoppers to drive sales repeat engagements and build...
Wed 15 Jan 2020,Copyright & Technology Conference (CTC),Fordham University School of Law ,New York,The Copyright & Technology Conference will feature a keynote speech in the morning followed by a presentation of new research then in the afternoon we will split up into two tracks: Technology and Law...
Tue 07  - Thu 16 Jan 2020,National Retail Federation Summit (NRF Summit),Mandarin Oriental  ,New York,National Retail Federation Summit provides the opportunity to the attendees high level networking delegation composed of leaders who inspire leaders lodging at the iconic Mandarin Oriental NY wrap-ups...
Tue 14  - Thu 16 Jan 2020,International Society for the Performing Arts Congress New York (ISPA),,New York,The International Society for the Performing Arts Congress New York will cover areas like All the recent advancements concerning Performing Arts and many more. Explore the congress theme over the course...
Thu 16 Jan 2020,Dealing with Difficult People,SLC Conference Center ,New York,The Dealing with Difficult People gives you concrete techniques for dealing with difficult people in the workplace and at home. It provides specific strategies for getting adversaries to cooperate bullies...
Thu 16 Jan 2020,New York Nonprofit Conference, Marriott Marquis ,New York,The New York Nonprofit Conference focuses on tackling changes in the not-for-profit sector and it brings together practitioners executives board members and financial employees working at or with nonprofit...
Thu 16 Jan 2020,ACG New York Women of Leadership Summit,InterContinental  Barclay ,New York,ACG New York Women of Leadership Summit brings together women in the middle market deal-making community for a day focused on networking and knowledge sharing. The summit will focus on a variety of key...
Wed 15  - Fri 17 Jan 2020,Beyond Housing (BH),Crowne Plaza Times Square Manhattan ,New York,The Beyond Housing welcomes a diverse group of service providers and big-picture thinkers from across the country to explore new and innovative methods to prevent or mitigate the impact of homelessness...
Thu 16  - Fri 17 Jan 2020,Developing Your Emotional Intelligence,AMA Conference Center  City ,New York,Leverage emotional intelligence training to position yourself for personal team and organizational success
Thu 16  - Fri 17 Jan 2020,Career Services Technology Meeting (CSTM),Baruch College ,New York,Career Services Technology Meeting has been bringing together career services professionals from around the country to share best practices discuss trends and identify the latest in technology communications...
Thu 16  - Sun 19 Jan 2020,NY International Numismatic Convention,Grand Hyatt  ,New York,NY International Numismatic Convention event will showcase numismatic items ancient collecting fraternities ancient numismatics including coverage of shows ancient coins and antiquities etc.
Thu 16  - Sun 19 Jan 2020,Chamber Music America Conference (CMA),The Westin  at Times Square ,New York,Conference focus on growing field that is chamber music today.
Thu 16  - Sun 19 Jan 2020,International Embryo Technology Society Conference (IETS), Hilton Midtown ,New York,International Embryo Technology Society Conference aims to further the science of animal embryo technology by promoting more effective research disseminating scientific and educational information fostering...
Tue 21 Jan 2020,Annual Nyic Aira Joint  Bankruptcy And Restructuring Event,Arno ,New York,The Annual Nyic Aira Joint  Bankruptcy And Restructuring Event will feature areas like synergetic education created out of that special relationship that has been effective and acknowledged. The administration...
Tue 21  - Wed 22 Jan 2020,Data Science New York (DSNY),The Westin  ,Jersey City,Learn. Network. Advance.
Wed 22 Jan 2020,Presentation to CFA Society New York, Society of Security Analysts ,New York,The Presentation to CFA Society New York will focus on the outlook for natural gas demand and supply as well as regulatory and legislative changes. It will address various issues regarding investment...
Wed 22  - Thu 23 Jan 2020,CFOs & COO,Grand Hyatt  ,New York,The CFOs & COO is the annual forum for private equity financeoperations and compliance professionals. It covers a range of issues from regulation to outsourcing valuation to cybersecurity and is designed...
Thu 23 Jan 2020,CIOsynergy New York,,New York,Do Not Approve. Do Not Approve. No Not Approve.Do Not Approve. Do Not Approve. No Not Approve.Do Not Approve. Do Not Approve. No Not Approve.Do Not Approve. Do Not Approve. No Not Approve.Do Not Approve....
Thu 23 Jan 2020,JOLT New York,Park Central Hotel  ,New York,JOLT New York will be one of the first events of its kind to focus on the adoption of Artificial Intelligence for business executives and a one-day interactive conference which will explore the AI basics...
Thu 23 Jan 2020,Alternative Data Conference,Convene at 117 W 46th Street ,New York,The Alternative Data Conference is organized for institutional investors and business professionals working to stay on top of the radically evolving landscape of alternative data. The keynotes of this...
Thu 23 Jan 2020,MediaPosts Online All Stars,Yale Club of  City ,New York,Online All Stars is an editorial award celebrating the stars in the online media advertising and marketing industry who have pushed the business to new levels of excellence through their outstanding...
Wed 22  - Fri 24 Jan 2020,New York Business Case Seminar,Hilton Times Square ,New York,New York Business Case Seminar is designed to help the attendees answer the What happens question. Most of them simply present methods for making a few cost and revenue forecasts. However to score high...
Wed 22  - Fri 24 Jan 2020,Future Offices,,New York,DESIGN AT WORK
Wed 22  - Fri 24 Jan 2020,Aml & Ofac Compliance for the Insurance Industry,Park Lane Hotel  ,New York,Conference focus on AML and OFAC compliance for the insurance and reinsurance industries
Wed 22  - Fri 24 Jan 2020,International Advancement Global Strategies for Alumni Relations and Fundraising,Grand Hyatt  ,New York,International advancement as a field is gaining prominence as institutions are challenged to build relationships and engage with a global audience. Whether your institution is public or private large...
Thu 23  - Fri 24 Jan 2020,Adexchanger Industry Review,Grand Hyatt  ,New York,Adexchanger will cover areas like advertising and marketing technology ecosystem reveals new visions and unparalleled insight into the latest ideas trends and technologies that are shaping the marketing...
Thu 23  - Fri 24 Jan 2020,Northeast Private Equity Conference,Lotte  Palace ,New York,Northeast Private Equity Conference attracts nearly 200 lower middle market fund managers limited partners investment bankers and industry professionals. It offers a close collegial networking environment...
Thu 23  - Fri 24 Jan 2020,ESG Due Diligence & Analytics Summit,AMA Conference Center  City ,New York,The ESG Due Diligence & Analytics Summit is a one-of-a-kind ESG event that brings together investors investment consultants investment managers regulatory organizations and advocacy groups to answer...
Thu 23  - Fri 24 Jan 2020,Basel III IV and Beyond - Effective Risk Data Management and Reporting,Newark,Newark,Build a risk data management framework to support risk and capital reporting
Fri 24 Jan 2020,Annual Conference Clinical Climate Change,Icahn School of Medicine at Mount Sinai ,New York,Annual Conference Clinical Climate Change will focus on allergy and immunology cardiovascular disease emergency medicine ear nose and throat geriatrics infectious disease internal medicine primary...
Thu 23  - Sat 25 Jan 2020,New York Young Leaders Global Summit,Fitzpatrick Grand Central ,New York,New York Young Leaders Global Summit over 150 Young Leaders from around the globe gathered in the nation’s capital. The summit topics are built around three key pillars-relevance connectivity and engagement...
Sat 25 Jan 2020,The Largest World MBA Tour,Sheraton  Times Square Hotel ,New York,The Largest World MBA Tour provides the attendees with the opportunity to attend informative MBA admissions seminars and network with alumni as well as accessing a pool of MBA scholarships.
Sat 25 Jan 2020,APHA Annual Meeting, Public Library - Stephen A. Schwarzman Building ,New York,The APHA Annual Meeting will provide the attendees with the opportunity to join the conversation on intersections of printing history the book arts bibliography and print culture studies with gender...
Sun 26  - Tue 28 Jan 2020,Financial & Insurance Conference Planners Symposium (FICP Symposium),Hyatt Regency  on the Hudson,Jersey City,Financial & Insurance Conference Planners Symposium provides access to education experience and resources targeting the needs of financial services and insurance meeting professionals from across North...
Mon 27  - Tue 28 Jan 2020,Annual Executive Forum on False Claims and Qui Tam Enforcement,Park Lane Hotel  ,New York,False Claims and Qui Tam Enforcement features a faculty of government prosecutors and leading in-house counsel from industries most impacted by the expanding reach of the False Claims Act including healthcare...
Tue 28 Jan 2020,Bond Buyers National Outlook Conference,,New York,The Bond Buyers National Outlook Conference will cover areas like A diverse audience of senior public-sector issuers investors investment bankers and lawyers will confront the market's impending developments...
Tue 28 Jan 2020,German American Business Outlook,J.P. Morgan ,New York,German American Business Outlook features the most important economic indicators of German American business relations. It will feature a discussion on topics like introductory Remarks Economic Update...
Sun 26  - Wed 29 Jan 2020,Metropolitan Underwriting Discussion Conference (MUD),InterContinental  Times Square ,New York,The Metropolitan Underwriting Discussion Group Conference supports East Coast networking sessions to educate and bring together members of the Underwriting Community at large for an annual meeting.
Tue 28  - Wed 29 Jan 2020,George A. Fox Conference,The Graduate Center CU ,New York,George A. Fox Conference is a great opportunity to learn about current projects future projects overcoming challenges and learn about new technology. The atmosphere promotes outstanding networking opportunities...
Tue 28  - Wed 29 Jan 2020,Global Drug Bioavailability Enhancement Summit,The er A Wyndham Hotel ,New York,The Global Drug Bioavailability Enhancement Summit will connect industry leaders from both mall molecule and biologics areas to address challenges at the interface between drug discovery and preclinical/clinical...
Tue 28  - Wed 29 Jan 2020,Reputation Startegy Summit,,New York,The ONLY TED-Style Reputation & Crisis Strategy Summit for PR & Communication Professionals
Tue 28  - Wed 29 Jan 2020,Amazon Strategies,Convene Conference Center ,New York,Amazon Strategies is a two-day forum and workshop where we’ll hear from brands successfully selling on Amazon as well as leaders from agencies and consultancies that work with these retailers. This...
Wed 29 Jan 2020,Transaction Insurance Insights Conference, Law School ,New York,Transaction Insurance Insights Forum will be of value to private equity investors risk managers and insurance professionals who need to understand how transaction insurance products are making deals happen...
Wed 29  - Thu 30 Jan 2020,Employment Practices Liability Insurance,Park Lane Hotel  ,New York,Employment Practices Liability Insurance conference program will include enhanced industry perspectives and account for new developments strategies and industry trends.
Thu 30 Jan 2020,International Taxation Conference (International Taxation New York),Newman Vertical Campus ,New York,
Tue 28  - Fri 31 Jan 2020,Inman Connect New York, Marriott Marquis ,New York,Inman Connect New York is a place where more than 4000 CEOs tech entrepreneurs marketing experts top-producing agents and brokers and financial services executives converge.
Wed 29  - Fri 31 Jan 2020,Best Practices for Capital Management and CCAR,,New York,Examining methods to optimize capital allocation and management to drive profitability
Thu 30  - Fri 31 Jan 2020,Corporate Debt Restructuring,,New York,Corporate Debt Restructuring deals with the background and resolution of debt restructuring issues and reviews techniques for limiting exposure. As risk profiles and positions of debt holders change creditors...
Thu 30  - Fri 31 Jan 2020,Digital Asset Management Summit,AMA Conference Center  City ,New York,Our increasingly content-driven world has both highlighted the necessity for and elevated the importance of an effective digital asset management strategy within the organization. IEN’s Digital Asset...
Sat 01  - Sun 02 Feb 2020,New York State Dance Education Conference (Winter Conference),Hunter College ,New York,Dancing Voices Resources and Access
Mon 03  - Tue 04 Feb 2020,Everyone Reading Annual Conference,The Graduate Center CU ,New York,The Everyone Reading Annual Conference is a platform to learn about language-based learning disabilities and dyslexia and the explicit systematic instruction needed to develop skilled readers. S.P.I.R.E....
Tue 04  - Wed 05 Feb 2020,Chief Data & Analytics Officer Financial Services, Marriott Downtown ,New York,Advancing Data Analytics Leadership Within Financial Services
Wed 05 Feb 2020,Human Resources for Anyone with Newly Assigned HR Responsibilities,SLC Conference Center ,New York,The Human Resources for Anyone with Newly Assigned HR Responsibilities will cover a broad range of material but ensure it's presented in a manner that makes it easy to absorb and digest. You will have...
Mon 03  - Thu 06 Feb 2020,LegalCIO, Hilton Midtown ,New York,LegalCIO the event will focus on the most relevant opportunities and challenges impacting today's law firm information technology and knowledge management professionals including collaborating with corporate...
Wed 05  - Thu 06 Feb 2020,Anti-Money Laundering and Financial Crimes Conference, Marriott Marquis ,New York,SIFMA's Anti-Money Laundering & Financial Crimes Conference brings together leading professionals from the securities industry regulatory agencies and law enforcement to discuss current developments and...
Wed 05  - Thu 06 Feb 2020,Pharma Market Research Conference (PMRC),Newark Liberty International Airport Marriott,Newark,International Pharmaceutical Industry Conference
Thu 06 Feb 2020,Payroll Law,SLC Conference Center ,New York,The Payroll Law provides the attendees with the opportunity to learn how to better interpret state and federal wage and hour laws and most important how to keep their company out of hot water with the...
Thu 06 Feb 2020,New York RIA Summit,Convene Conference Center ,New York,Advanced Networking And Asset Management Intelligence For Independent Rias
Thu 06 Feb 2020,Art Law & Litigation Conference,The National Arts Club ,New York,Art Law & Litigation Conference aims to strengthen the federal legal system and administration of justice by serving the interests and the needs of the federal practitioner both public and private the...
Thu 06 Feb 2020,Generating Alpha,The National Arts Club ,New York,Generating Alpha will address topline issues in the ways that allocators select investments through fund managers and through the advice of investment consultants. The full-day discussion will include...
Thu 06  - Fri 07 Feb 2020,Forte MBA Launch, Marriott Downtown ,New York,Forté MBALaunch is a 10-month program that pairs women seeking an MBA with a support network and provides a structured roadmap for applying to business schools. MBALaunch is a balance of in-person and...
Thu 06  - Fri 07 Feb 2020,Annual MiddleMarket Multifamily Forum Northeast, Marriott Downtown ,New York,Annual MiddleMarket Multifamily Forum Northeast will focus on Going from Small to Mid-sized Player First Time Working with Institutional Capital Investing in and Managing Apartment Buildings with up...
Fri 07 Feb 2020,Fashion Law,The National Arts Club ,New York,The Fashion Law conference will feature another impressive lineup of attorneys and industry insiders who will discuss the advancement of fashion law in today's globalizing world.
Fri 07 Feb 2020,Annual Insurance-Linked Securities New York Conference (ILS NYC),Convene at 117 W 46th Street ,New York,Annual Insurance-Linked Securities New York Conference building on the success of our previous events and hoping to stimulate interesting discussions on the state of the insurance-linked securities...
Fri 07  - Sat 08 Feb 2020,International Symposium on Left Atrial Appendage (ISLAA), Marriott Marquis ,New York,International Symposium on Left Atrial Appendage is a multi-speciality cardiovascular educational symposium in North America on the frontier science of left atrial appendage. This topic is of tremendous...
Fri 07  - Sat 08 Feb 2020,AAAI/ACM Conference on Artificial Intelligence Ethics and Society (AAAI/ACM Conference on AI Ethics and Society), Hilton Midtown ,New York,The AAAI/ACM Conference on Artificial Intelligence Ethics and Society will provide the attendees with the opportunity to gain information relating to topics such as Cultural political and other societal...
Fri Dec 27,Eric Prydz Presents: HOLO NYC, Expo Center  The Bronx ,New York,ALL TICKETS SOLD OUT!First and Only US HOLO ShowsDecember 27 + 28 + 29 2019 New York Expo CenterVIP Tables: call 934-444-2445 or email vip@degpresents.com For Ticket Holders: Upgrade for OPEN BAR + TABLES below  Friday | Saturday | SundayEric Prydz has been a name on everyone’s lips this summer under his Pryda alias he released an album’s worth of material his new live shows Holosphere and V O I D were the talk of Tomorrowland and Creamfields and his Labor Day performance at Brooklyn Mirage was reportedly the biggest of the year. Prydz continues to push boundaries both in the studio and in the live space and this Winter will debut his acclaimed HOLO show in New York at an incredible cavernous location in the Bronx the 60000 sq foot New York Expo Center. Presented by DEG Presents these will be the first and last US performances of HOLO and will feature greater production levels than any previous Prydz US show.HOLO came to life last year as a series of three concerts in the UK before returning to sell out the 15000 Steel Yard in London this summer in record-time. The unique combination of video combined with Prydz signature and bespoke light and laser set up have made HOLO one of the most admired live shows in electronic music. HOLO is an outgrowth of Prydz’s original EPIC concert series which have centered around a pioneering use of holograms. The Verge called these shows ‘the ambitious future of concert tech’ this summer when the sixth installment of EPIC HOLOSPHERE debuted at Tomorrowland. HOLO NYC is a very different show than HOLOSPHERE which centered Prydz inside a transparent LED physical sphere.HOLO marks the first major large-scale production concert from Prydz in America since he performed EPIC 4.0 in 2016. As with EPIC and other Prydz concert experiences like V O I D the HOLO shows are site-specific and temporal no two are the same and no further HOLO dates are planned at this time. A HOLO NYC pre-sale sign-up will launch immediately today for both shows. The pre-sale will take place on Sept 10th at 10am EST with pre-sale codes sent at 9am Sept 10 and is designed to help fans purchase tickets directly for the show and prevent scalpers moving tickets into the secondary market. For more information visitwww.holonyc.com VIP Tables please call: 934-444-2445NO REFUNDS - Event is rain or shine.
Tue Dec 31,Above & Beyond NYE 2020, Expo Center  The Bronx ,New York,LIMITED TICKETS REMAIN!VIP INQUIRIES PLEASE EMAIL : vip@degpresents.com or click HERE. OPEN BAR UPGRADE : VIP Open Bar Upgrade Includes:  3 Hour Open Bar from 9pm-12am &  Dedicated Bar for all Open Bar customers. There is no place on the planet as exciting to spend NYE as New York City. On Tuesday December 31 titans of the electronic music genre ABOVE & BEYOND will ring in 2020 with a special headline show at an incredible cavernous location in the Bronx--the 60000 sq foot New York Expo Center.Above & Beyond have crystallized something that lay at the heart of everything they’ve achieved over their 17 years together. From developing that groundbreaking radio show to touring the world’s best clubs and most illustrious venues; from establishing a thriving multi-artist label to building a peerless catalogue of artist albums; from creating iconic dance anthems to curating soulful acoustic rerubs one thing stands out. That is: Above & Beyond have carved out a unique space in music and culture one that reaches far beyond their electronic roots. In so doing Jono Paavo and Tony have created something special: a common ground where all sorts of people and ideas can come together. Celebration kinship community – it’s the A&B way.NO REFUNDS - RAIN OR SHINE
Fri Nov 29,Cash Cash & R3hab,Great Hall - Avant Gardner ,New York,not available
Sat Dec 7,Alison Wonderland - Wonderland Warehouse Project,Great Hall - Avant Gardner ,New York,After taking the Electric Zoo mainstage to a spiritual level on its final night this past Labor Day Weekend Alison Wonderland officially returns this winter for her 'Wonderland Warehouse Project' on December 7th at Avant Gardner.19+
Wed Jan 23,Armin van Buuren,Great Hall - Avant Gardner ,New York,not available
Fri Nov 29,NYC Hip Hop vs Reggae™ Katra Lounge Remix Fridays Everyone FREE (Gametight),Katra ,New York,not available
Fri Dec 27,Seven Lions,Great Hall - Avant Gardner ,New York,On Electric Zoo 2019's third and final day Seven Lions brought his Ophelia Records team to the Riverside stage to host some of his favorite talent from the newly-formed record label. To finalize his complete 2019 campaign the label boss is bringing Jason Ross MitiS Crystal Skies and himself back to NYC for yet another label showcasing on December 27th at Avant Gardner!19+
Sat Nov 30,SATURDAY NIGHT PARTY | Sky Room NYC Tallest Rooftop Bar Lounge  Times Squar...,SKY ROOM ,New York,not available
Sun Dec 29,Zedd,Great Hall - Avant Gardner ,New York,SOLD OUT - DUE TO OVERWHELMING DEMAND SECOND SHOW ADDED ON 12/30 TICKETS ON SALE HERE: http://bit.ly/Zedd1230Dance music superstar Zedd brings his unique and highly recognizable style of composition to The Great Hall for a special pre-NYE show! His meticulously detailed and carefully produced tracks are remarkably distinct drawing from his complex musicality and diverse background spanning from classical to post-hardcore/metal to electro house. Already a powerhouse beyond the EDM realm Zedd’s originality continues to fuel his momentum propelling him forward with every beat.For limited table reservations please email reservations@avant-gardner.com.19+---Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsPlease be advised that events at Avant Gardner are subject to contain flashing lights and strobe effects which may affect individuals who are susceptible to photosensitive epilepsy or other photosensitivity.
Wed Nov 27,Thanksgiving Eve Party with A$AP Rocky,Avant Gardner ,New York,This Thanksgiving Eve November 27th The Day Party transforms into The Night Party taking over two rooms of Avant Gardner for a hip-hop party with A$AP Rocky and some of the biggest acts in the game: DJ Spade DJ Clue DJ MOMA DJ Boof & Odalys. Ride with the mob and come together to give thanks for the culture as we celebrate with a lineup born and bred in NYC.2 For 1 Drink specials from 9pm-10:30pm for all guestsLimited table reservations available: reservations@avant-gardner.com 18+Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsEvents at Avant Gardner may contain flashing lights and strobe effects which affect photosensitive individuals.
Thu Jan 17,Slander (Late Show),Great Hall - Avant Gardner ,New York,SOLD OUT - Early show added tickets available here: https://slanderbrooklynearly.eventbrite.comSLANDER follows up their Electric Zoo 2019 appearance on January 17th as they bring 'The Eye' tour with Dylan Matthew.19+---Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsPlease be advised that events at Avant Gardner are subject to contain flashing lights and strobe effects which may affect individuals who are susceptible to photosensitive epilepsy or other photosensitivity.
Sat Dec 7,29Rooms New York - December 72019,25 Kent ,New York,The Expand Your Reality Tour is the latest 29Rooms experience from Refinery29 - a space where you're encouraged to step into the art wear the art touch the art and connect with others (and yourself) in the process.  Created in collaboration with innovative talent visionary artists and your favorite brands 29Rooms pairs the joy and play of exploration with the pulse of current events and culture. SESSION TIMES:Open daily beginning at 10:30AM on weekends and 1:30PM on weekdays*Your 29Rooms GA ticket gives you 2.5 hours to explore our creative world a.k.a. plenty of time to fully immerse yourself and let your imagination run wild. But be sure to check the session start time on your ticket as you will only be granted entry at that specific time.IMPORTANT INFORMATION:In order to get the most out of your 29Rooms visit we recommend arriving 15 minutes before your session’s start time to ensure a quick and easy check-in. (So if your start time is 5:30 PM try getting to the venue by 5:15 PM!)29Rooms TICKET POLICY:There are no ticket refunds or exchanges. All sales are final. Event is rain or shine.Children 2 & under are admitted FREETickets are only valid for the date and session on your ticket. Sessions are valid for 2.5 hours after the designated start time.If you can’t find your PDF or Mobile ticket please visit the Tickets section of your Eventbrite account.In the event that the purchaser cannot use ticket tickets are transferable (i.e. purchaser can give their ticket to a friend for use). Entry is based on ticket barcode (not name of purchaser).Each ticket will be scanned and is only good for ONE single-person entry. There is no re-entry.Need Help?Head to www.29Rooms.com for more information including our Frequently Asked Questions.Follow us on social @29Rooms for all updates and announcements. And feel free to DM us with any comments questions or cute dog memes.Still have a question that hasn't been addressed or want to find out how you can be more involved with 29Rooms? Email us at info@29Rooms.com.
Fri Feb 15,Galantis,Great Hall - Avant Gardner ,New York,19+---Please be advised that events at Avant Gardner are subject to contain flashing lights and strobe effects which may affect individuals who are susceptible to photosensitive epilepsy or other photosensitivity.
Thu Dec 26,Fisher,Great Hall - Avant Gardner ,New York,Following his absolutely historic back-to-back with Chris Lake to close out the summer Follow The Fish officially returns to Avant Gardner for a post-Christmas celebration on December 26th.19+
Fri Nov 29,FRIDAY NIGHT  PARTY  |  SKY ROOM BEST VIEW OF NYC,Sky Room ,New York,not available
Sat Nov 30,NYC Ravel Penthouse 808 Rooftop Saturdays Everyone FREE onlist (Gametight),Ravel Hotel  Queens ,New York,not available
Fri Dec 6 + 51 more events,Hello Panda Festival @ CITI FIELD - The Largest Lantern Festival In North A...,Citi Field  Queens ,New York,not available
Sat Nov 30,Ganja White Night,Great Hall - Avant Gardner ,New York,Following a historic closing appearance at Electric Zoo Festival this past Labor Day Weekend Ganja White Night returns to the Empire State for a Thanksgiving weekend show at Avant Gardner on November 30th! The show will feature special guest Boogie T as well as support from Jantsen and SubDocta.19+---A limited number of tables are available. To make a reservation please email reservations@avant-gardner.com.Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsEvents at Avant Gardner may contain flashing lights and strobe effects which affect photosensitive individuals.
Fri Nov 29,#SSS BLACKOUT  5th Anniversary,Knockdown Center  Queens ,New York,Though it May be Hard To Understand.  The Secret Soca Society has Ascended on Year 5!..For Our Fifth Year We Celebrate our Triumphs and The Love of Our People. We Felt Like YOU Needed Something Special that superseded every event we had before!..On Friday 29th November 2019 #TeamSSS brings to You: * SSS BlackOut V*- A Celebration of Love and Unity Through Soca Music. ..IMPORTANT NOTE:This will be our Biggest #SSS to date. Grab Your Tickets NOW! Prices will Go Up and they will Sell Out! There will Be Soca Artistes and You will be Impressed! .#SSS #SecretSocaSociety #SSSYear5 #SocaToDUniverse #SSSLoveAndUnity
Wed Jun 5,Lane 8 - Brightest Lights Tour - Brooklyn NY,Brooklyn Mirage - Avant Gardner ,New York,“We are so bombarded with negative energy at the moment especially on the internet and in my opinion you have to literally and consciously remove yourself from the loop at times to remember all the positive and amazing things happening every day. ‘Brightest Lights’ is about focusing on that positivity in the world.” Released in January 2020 Lane 8's third album ‘Brightest Lights’ captures the positivity and emotion of the Lane 8 DJ experience as well as offering more of the reflective and emotional songwriting featured on his last LP. Join him as he brings the album tour to Brooklyn at The Brooklyn Mirage on June 5th. The album tour will once again promote his This Never Happened concept with the dance floor becoming a phone and photo-free space.Lane 8 has partnered with PLUS1 so that $1 from each ticket will go to saving lives revitalizing communities and transforming global health through Partners In Health. www.pih.orgLeave your phone. Experience the moment. This Never Happened.Limited tables available: email reservations@avant-gardner.com.American Express® Card Members can purchase tickets from Thu 10/10 10:30AM through Thu 10/10 10PM.19+
Sun Dec 15,CITY OF SCIENCE 2019: Brooklyn,Park Slope Armory YMCA ,New York,not available
Wed Nov 27,Gunna live on Thanksgiving Eve at Knockdown Center! 18+,Knockdown Center  Queens ,New York,Off Campus Presents: Thanksgiving Eve Wednesday November 27thGunna live in concert Creator of smash hits “Drip Too Hard” “Hot” “Baby Birkin” “Oh Okay” “Sold Out Dates” and more!+ DJ CAMILO and friends General Admission Ticket = General entry into the eventVIP Admission Ticket = VIP entry into the event with a line skip and access to our private viewing sectionLine Skip Add On = VIP entry into the event with a line skip (Entry ticket NOT included) General Information 347.860.2400mc@offcampuspresents.com Table Service646.410.6195ag@offcampuspresents.comTickets at gunnakdc.eventbrite.com Knockdown Center 52-19 Flushing Ave Maspeth NY 113788:00PM - 2:00AM 18 to enter 21+ to drinkOFFCAMPUSPRESENTS.COM
Fri Nov 29,ROOFTOP PARTY FRIDAY NIGHT| SKY ROOM  NYC TMES SQUARE,Sky Room1 ,New York,not available
Sat Dec 14,elrow Art goes to New York!,Avant Gardner ,New York,elrow'art makes its inaugural debut in New York with a brand new collaboration between elrow OKUDART & Paco Osuna at Avant Gardner on December 14th! Come and enter the #KaosGarden with us!Powered by Desigual
Sun Dec 15,Cesar (@flipping_nj) and DJ Envy Real Estate Seminar NYC,Javits Center ,New York,From Start 2 Flip is coming to NYC. Cesar (@flipping_nj) and DJ Envy are back to end the year in NY. JOIN US for a life changing experience get the knowledge and industry secrets straight from the source. Hear from real estate experts such as Auction.com mortgage brokers real estate attorneys hard money lenders credit consultants construction and rehab professionals and others who will walk you through the ins and outs of real estate. If you’re an investor first time home buyer or interested in how to make money in real estate you cannot miss this seminar. Get ready to take notes in order to prepare yourself for a great investment! Space is limited.
Tue Jan 1,CHIC NYD 2020 | ALL INCLUSIVE,Russo's On The Bay  Queens ,New York,not available
Mon Jan 28,Inman Connect New York 2020 - Real Estate Conference, Marriott Marquis ,New York,not available
Sat Nov 30,AMBIENTE LATINO SATURDAY NIGHT PARTY AT LA TERRAZA | Times Square Views & ...,LA TERRAZA ROOFTOP,New York,not available
Thu Mar 14,Jauz,Great Hall - Avant Gardner ,New York,JAUZ is taking us off the deep in the new year as he returns to New York City to host 'The Dangerous Waters Tour' on March 14th at Avant Gardner.19+—A limited number of tables are available. To make a reservation please email reservations@avant-gardner.com.Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsEvents at Avant Gardner may contain flashing lights and strobe effects which affect photosensitive individuals.
Sun Dec 8,A.C.E,White Eagle Hall,Jersey City,South Korean boy group A.C.E will be back on the road to meet their fans through the new tour A.C.E CONCERT [UNDER COVER: AREA US]. The concert in New Jersey will take place on December 8 at White Eagle Hall.This time A.C.E is returning stronger than ever with their latest comeback “Under Cover” which proves to be a real show stopper. Since their debut in 2017 the band has never been afraid to experiment with their concepts and sound. With each release they have been able to surprise their fans. Once again A.C.E showcases their versatility as “Under Cover” offers a balanced mash-up of rock and hip-hop genres juxtaposed with their husky vocals in the chorus which later climaxes into a clear falsetto delivery towards the end of the track. Their newly refined sound and powerful looks promise stage-burning performances that fans can look forward to. The group's five members Jun Donghun Wow Kim Byeongkwan and Chan are ready to sweep away their audience with their dynamic energy and intensity.This tour is brought to you by the overwhelming demand of A.C.E fans on MyMusicTaste a global online service that allows fans to request their favorite artists to their city. Presale tickets exclusive to MyMusicTaste users who requested A.C.E in New Jersey will be available on October 15 at 11 AM local time. General sales on tickets to the public will then begin on October 17 at 11 AM local time.If you have requested A.C.E x New Jersey on MyMusicTaste your unique one-time use promo code has been sent to your MMT-registered email and phone number. Enter your promo code at checkout to redeem your presale and 10% discount benefit! *If you are not a MyMusicTaste member yet join us on https://mmt.fans/Caem/ and request your favorite artist's concert! You too can have access to special perks when your dream concert becomes a reality! About MyMusicTaste:MyMusicTaste is a fan initiated live event making service that brings fans artists and promoters from all over the world together in one place to create a valuable and meaningful concert experience for everyone involved. MyMusicTaste puts the power in the fans' hands allowing fans to request their favorite artist's concert in their city. With the mission to connect and amplify the voices of fans all over the world MyMusicTaste successfully promoted concerts of artists such as EXO GOT7 MONSTA X Kehlani and many more in over 52 different cities. With the simple idea--empowering fans to bring their favorite artist’s concert in the city of their choice based on fan demand--MyMusicTaste is challenging the $27 billion concert market through cutting-edge technology and sophisticated user-friendly service. Currently www.mymusictaste.com supports more than 30 countries and offers 15 different languages.
